mpu_address,yaw,pitch,roll,x_accel,y_accel,z_accel
104,71.25,18.29,83.6,0.12,0.92,0.31
104,77.22,18.88,85.56,0.09,0.93,0.27
104,71.58,16.31,84.43,0.11,0.89,0.31
104,72.46,15.23,85.08,0.1,0.88,0.3
104,75.22,8.16,87.83,0.05,0.87,0.26
104,75.17,3.51,89.07,0.03,0.92,0.26
104,72.97,10.15,86.86,0.07,1.0,0.32
104,76.24,13.28,86.69,0.06,0.86,0.24
105,77.2,355.43,91.04,0.0,0.98,0.24
104,70.42,10.52,86.22,0.08,0.87,0.32
105,82.86,58.29,78.53,0.19,0.99,0.14
104,73.12,3.8,88.84,0.04,0.91,0.28
105,81.14,65.22,71.34,0.36,0.97,0.14
104,76.17,354.04,91.47,0.0,0.9,0.23
105,81.66,69.96,68.12,0.39,0.95,0.16
105,78.36,68.48,62.42,0.52,0.98,0.25
105,75.42,68.43,56.66,0.62,0.94,0.25
105,73.67,70.87,49.82,0.69,0.81,0.34
105,55.76,61.58,38.48,0.72,0.56,0.39
105,11.5,68.4,4.61,0.84,0.14,0.36
105,57.23,61.58,40.06,0.7,0.57,0.43
105,68.89,67.26,47.35,0.63,0.71,0.25
105,60.55,46.76,59.02,0.51,0.83,0.38
105,63.39,30.9,73.31,0.22,0.82,0.43
105,67.68,21.09,81.0,0.14,0.94,0.4
104,77.7,358.95,90.23,0.02,0.96,0.23
104,77.06,2.31,89.47,0.03,0.9,0.21
104,74.47,12.7,86.42,0.08,0.94,0.27
104,77.64,17.1,86.14,0.08,0.95,0.22
105,67.77,15.86,83.38,0.04,0.92,0.37
104,78.25,13.21,87.21,0.07,0.92,0.21
105,82.06,18.62,87.31,0.08,1.02,0.17
104,76.19,17.92,85.45,0.09,0.94,0.25
105,79.1,18.19,86.38,0.08,0.88,0.19
104,77.06,10.41,87.58,0.05,0.89,0.2
105,81.33,55.7,77.4,0.22,0.86,0.15
104,82.03,11.89,88.31,0.05,0.95,0.15
105,82.89,32.74,85.42,0.09,0.99,0.14
104,79.27,14.17,87.26,0.06,0.93,0.2
104,77.83,10.04,87.82,0.06,0.93,0.22
105,79.93,357.54,90.44,0.01,0.95,0.19
104,77.59,11.47,87.44,0.06,0.96,0.23
105,81.02,20.7,86.58,0.07,0.9,0.17
104,78.92,11.2,87.78,0.05,0.95,0.21
105,79.27,32.49,83.12,0.12,0.83,0.16
104,81.11,1.28,89.8,0.02,0.97,0.17
105,80.63,51.26,78.38,0.21,0.95,0.16
104,78.18,1.35,89.72,0.02,0.94,0.22
105,80.67,51.62,78.28,0.22,1.0,0.19
104,79.45,356.76,90.6,0.01,0.96,0.19
105,81.23,51.31,79.1,0.21,1.03,0.18
104,77.64,355.34,91.02,0.02,0.93,0.21
105,84.74,64.98,78.84,0.22,1.09,0.12
104,75.27,4.09,88.92,0.03,0.94,0.26
105,84.8,70.6,75.5,0.3,1.07,0.13
104,77.65,357.11,90.63,0.01,0.96,0.22
105,80.07,62.2,71.64,0.36,1.03,0.2
105,74.59,59.68,64.76,0.48,0.97,0.26
105,74.0,67.02,55.93,0.66,1.0,0.27
105,63.95,55.69,54.39,0.57,0.8,0.38
105,53.22,57.33,40.63,0.48,0.42,0.3
105,28.72,72.66,9.71,0.8,0.19,0.28
105,60.59,57.7,48.28,0.66,0.75,0.44
104,76.12,7.44,88.15,0.05,1.04,0.28
105,70.39,62.92,55.13,0.6,0.85,0.3
104,71.71,3.89,88.71,0.04,0.84,0.28
105,73.52,60.47,62.43,0.51,1.0,0.31
104,72.69,7.0,87.81,0.05,0.92,0.3
105,75.63,52.57,71.49,0.34,0.98,0.28
104,72.24,9.35,86.98,0.08,0.97,0.33
105,77.14,42.41,78.22,0.23,0.98,0.34
104,68.98,12.45,85.15,0.09,0.88,0.35
105,81.56,24.82,86.07,0.11,1.09,0.19
104,72.02,8.0,87.39,0.05,0.89,0.3
105,82.19,36.3,84.25,0.14,1.06,0.15
104,71.07,4.78,88.36,0.05,0.96,0.34
105,84.92,69.68,76.49,0.25,1.0,0.12
104,74.71,1.03,89.72,0.02,0.92,0.3
105,81.57,52.65,79.02,0.19,0.91,0.15
104,74.59,2.86,89.21,0.04,0.88,0.25
105,77.31,7.8,88.23,0.05,0.86,0.23
104,72.61,13.07,85.84,0.08,0.84,0.28
104,71.64,16.46,84.4,0.1,0.85,0.31
104,72.78,15.71,85.02,0.1,0.95,0.31
104,73.18,9.95,86.96,0.07,0.94,0.3
104,76.32,3.08,89.25,0.04,0.97,0.26
105,80.08,355.21,90.84,0.01,0.89,0.19
