mpu_address,yaw,pitch,roll,x_accel,y_accel,z_accel
104,61.2,10.45,84.21,0.1,0.84,0.47
105,71.73,54.89,64.85,0.48,1.02,0.35
104,71.35,15.67,84.59,0.09,0.6,0.23
105,75.56,65.24,60.83,0.46,0.79,0.24
104,64.77,18.7,80.94,0.14,0.74,0.36
105,72.64,42.19,74.18,0.25,0.87,0.27
104,66.65,18.73,81.67,0.15,0.88,0.39
105,75.73,28.32,82.2,0.14,0.84,0.25
104,63.64,22.45,78.43,0.19,0.86,0.45
105,79.69,43.53,80.2,0.16,0.9,0.16
104,64.33,21.1,79.5,0.18,0.89,0.45
105,81.72,48.25,80.75,0.17,0.98,0.18
104,69.91,21.29,81.89,0.14,0.79,0.32
105,78.93,32.6,82.86,0.13,0.91,0.21
104,69.8,21.77,81.64,0.15,0.87,0.33
105,77.85,30.22,82.85,0.14,0.87,0.22
104,67.11,14.46,83.79,0.1,0.79,0.35
105,74.51,41.15,76.38,0.19,0.8,0.22
104,62.47,5.08,87.35,0.05,0.68,0.38
105,70.37,40.06,73.3,0.22,0.73,0.31
104,67.65,5.98,87.53,0.05,0.74,0.36
105,64.89,29.13,75.36,0.22,0.79,0.29
104,60.56,5.86,86.68,0.07,0.86,0.49
105,65.0,40.22,68.48,0.36,0.9,0.44
104,57.2,359.04,90.62,0.02,0.65,0.42
105,57.27,43.86,58.3,0.5,0.77,0.49
105,58.64,47.13,56.72,0.5,0.86,0.47
105,59.74,55.99,49.14,0.65,0.76,0.43
105,60.13,55.64,49.97,0.66,0.75,0.46
105,47.98,56.99,35.79,0.77,0.59,0.49
105,38.7,61.05,23.9,0.8,0.32,0.47
105,17.11,68.37,6.96,0.9,0.12,0.36
105,26.81,64.78,13.39,0.83,0.27,0.37
105,45.31,56.56,33.72,0.68,0.51,0.45
105,56.44,66.96,32.66,0.87,0.59,0.37
105,64.11,59.98,49.98,0.72,0.85,0.42
104,53.06,0.11,89.92,0.02,0.65,0.5
105,71.61,59.85,60.21,0.59,1.05,0.35
104,52.3,7.93,83.86,0.08,0.67,0.53
105,71.22,54.74,64.31,0.48,1.01,0.4
104,52.32,12.62,80.19,0.15,0.76,0.59
105,71.34,50.34,67.84,0.37,0.95,0.31
104,51.8,16.59,76.8,0.18,0.7,0.57
105,80.7,56.16,76.28,0.17,0.87,0.18
104,55.86,21.43,75.09,0.17,0.58,0.4
105,73.96,33.31,79.3,0.15,0.79,0.24
104,54.7,18.58,76.61,0.16,0.55,0.39
105,75.02,4.7,88.74,0.04,0.76,0.24
104,60.16,20.2,78.08,0.19,0.83,0.48
105,75.77,356.77,90.82,0.01,0.76,0.21
104,63.19,19.74,79.72,0.19,0.94,0.5
105,74.69,358.17,90.5,0.02,0.85,0.25
104,62.81,17.86,80.6,0.15,0.82,0.45
104,63.4,13.65,83.07,0.12,0.85,0.43
105,75.31,357.0,90.79,0.01,0.84,0.23
104,60.62,12.31,83.0,0.09,0.76,0.44
105,74.58,19.74,84.35,0.1,0.79,0.25
104,51.34,12.48,79.96,0.1,0.67,0.56
105,66.78,21.29,80.51,0.17,0.78,0.37
104,52.49,9.0,83.07,0.08,0.69,0.57
105,65.94,35.47,72.35,0.26,0.71,0.36
104,46.48,8.65,81.78,0.08,0.51,0.49
105,67.35,46.85,66.01,0.37,0.82,0.38
104,50.15,9.26,82.25,0.07,0.36,0.32
105,66.8,50.02,62.93,0.41,0.81,0.35
105,67.15,55.32,58.67,0.48,0.78,0.33
105,61.26,50.8,56.08,0.64,0.93,0.49
105,58.78,57.05,46.92,0.73,0.77,0.48
105,48.25,57.1,35.94,0.96,0.69,0.46
105,50.96,66.88,27.77,0.89,0.47,0.39
105,52.02,70.36,24.57,0.85,0.4,0.33
105,41.72,73.31,14.96,0.79,0.22,0.26
105,32.4,75.65,9.23,0.85,0.15,0.23
105,6.93,74.13,1.98,0.86,0.05,0.27
105,17.03,75.39,4.57,0.85,0.09,0.24
